Scenario Name,Folder,Review Status,Comments
AirportReturnRideFromNotes,pas/scenarios/reviews/chang,,
ApartmentAcceptanceDeadlineCoordination,pas/scenarios/reviews/chang,,
ApartmentComparisonTransportCostFactor,pas/scenarios/reviews/chang,,
ApartmentMaintenanceCalendarCoordination,pas/scenarios/reviews/chang,,
BorrowedItemDeliveryConflict,pas/scenarios/reviews/chang,,
BulkDiscountValidationReminder,pas/scenarios/reviews/chang,,
CabExpenseReimbursementWorkflow,pas/scenarios/reviews/chang,,
ConflictingReminderNegotiation,pas/scenarios/reviews/chang,,
ContactRelocationUpdate,pas/scenarios/reviews/chang,,
ConversationSummaryNoteCapture,pas/scenarios/reviews/chang,,
DeliveryRideConflictDetection,pas/scenarios/reviews/chang,,
DiscountExpiryGiftSuggestion,pas/scenarios/reviews/chang,,
DuplicateCommitmentDetection,pas/scenarios/reviews/chang,,
DuplicateNotesMergeRequest,pas/scenarios/reviews/chang,,
EmailDrivenNoteReorganization,pas/scenarios/reviews/chang,,
EventCancelCabCleanup,pas/scenarios/reviews/chang,,
ForgottenItemFriendRequest,pas/scenarios/reviews/chang,,
FurnitureOrderLeaseTermMismatch,pas/scenarios/reviews/chang,,
GiftHistoryTrackingFromOrder,pas/scenarios/reviews/chang,,
GroupEventReminderAttendanceSync,pas/scenarios/reviews/chang,,
GroupGiftContributionCoordination,pas/scenarios/reviews/chang,,
GroupOrderSplitCoordination,pas/scenarios/reviews/chang,,
LeaseEndApartmentSearch,pas/scenarios/reviews/chang,,
LeaseRenewalDeadlineReminder,pas/scenarios/reviews/chang,,
MeetingNotesFromMessages,pas/scenarios/reviews/chang,,
MessageTaskReminderCreation,pas/scenarios/reviews/chang,,
MidRideUrgentDiversion,pas/scenarios/reviews/chang,,
MoveInRequiredItemsCartPrep,pas/scenarios/reviews/chang,,
NoteAttachmentEmailForwarding,pas/scenarios/reviews/chang,,
OrderInquiryEmailDraft,pas/scenarios/reviews/chang,,
ProjectNotesReminderCoordination,pas/scenarios/reviews/chang,,
RecipeForwardRequestAttribution,pas/scenarios/reviews/chang,,
RecurringExpenseSplitCoordination,pas/scenarios/reviews/chang,,
ReminderCleanupAfterEventCancel,pas/scenarios/reviews/chang,,
RideCancelAfterHomeDelivery,pas/scenarios/reviews/chang,,
RideCancellationEmailApology,pas/scenarios/reviews/chang,,
RideCancellationExpenseReporting,pas/scenarios/reviews/chang,,
RideShareMeetingCoordination,pas/scenarios/reviews/chang,,
RideStatusSharingWithFriend,pas/scenarios/reviews/chang,,
RoommateApartmentSearchFromChat,pas/scenarios/reviews/chang,,
ShoppingDiscountCalendarReminder,pas/scenarios/reviews/chang,,
ShoppingDiscountCartOptimization,pas/scenarios/reviews/chang,,
UrgentConflictRideReschedule,pas/scenarios/reviews/chang,,
add_missing_group_contacts,pas/scenarios/reviews/chang,,
correct_misaddressed_email_typo,pas/scenarios/reviews/chang,,
event_prep_shopping_from_message,pas/scenarios/reviews/chang,,
friend_product_swap_recommendation,pas/scenarios/reviews/chang,,
gift_purchase_multi_email_inference,pas/scenarios/reviews/chang,,
