Scenario Name,Folder,Review Status,Comments
AbandonedCartCheckoutNudge,pas/scenarios/reviews/cheng,,
ApartmentApplicationDocumentReminder,pas/scenarios/reviews/cheng,,
ApartmentComparisonDecisionAid,pas/scenarios/reviews/cheng,,
ApartmentFeatureComparisonQuery,pas/scenarios/reviews/cheng,,
ApartmentLeaseExpiryRenewalPrep,pas/scenarios/reviews/cheng,,
ApartmentPriceUpdateSync,pas/scenarios/reviews/cheng,,
ApartmentViewingReminderPrep,pas/scenarios/reviews/cheng,,
ApartmentViewingRideCoordination,pas/scenarios/reviews/cheng,,
ApartmentViewingScheduleConflict,pas/scenarios/reviews/cheng,,
BudgetConstrainedApartmentFilter,pas/scenarios/reviews/cheng,,
BulkOrderSpaceConstraint,pas/scenarios/reviews/cheng,,
CabIssueFollowupWithDetails,pas/scenarios/reviews/cheng,,
CalendarProductSearchSuggestion,pas/scenarios/reviews/cheng,,
CancelledGiftOrderContactTracking,pas/scenarios/reviews/cheng,,
CancelledMeetingNoteCleanup,pas/scenarios/reviews/cheng,,
CartOrderDiscountConsolidation,pas/scenarios/reviews/cheng,,
ColleagueRideEmergencyAssist,pas/scenarios/reviews/cheng,,
DelayedRideEmailCoordination,pas/scenarios/reviews/cheng,,
DelayedRideIncidentClaim,pas/scenarios/reviews/cheng,,
DeliveryConflictCancellation,pas/scenarios/reviews/cheng,,
DiscountCodeExpiryCartReminder,pas/scenarios/reviews/cheng,,
EmailAttachmentCartSuggestion,pas/scenarios/reviews/cheng,,
EmailDrivenNoteCleanup,pas/scenarios/reviews/cheng,,
EmailForwardApartmentInquiry,pas/scenarios/reviews/cheng,,
EmailNoteDiscrepancyCorrection,pas/scenarios/reviews/cheng,,
FamilyApartmentRecommendationRequest,pas/scenarios/reviews/cheng,,
GroupConversationSplitPrivate,pas/scenarios/reviews/cheng,,
GroupRideCoordinationSplitPayment,pas/scenarios/reviews/cheng,,
LeaseEndApartmentSearchUrgency,pas/scenarios/reviews/cheng,,
MeetingAgendaAttachmentCorrection,pas/scenarios/reviews/cheng,,
MeetingFollowupReminderCreation,pas/scenarios/reviews/cheng,,
MeetingPrepNotesFromCalendar,pas/scenarios/reviews/cheng,,
NoteConsolidationSyllabusUpdate,pas/scenarios/reviews/cheng,,
OrderFailureStoreVisitSuggestion,pas/scenarios/reviews/cheng,,
OutOfStockNoteAlternative,pas/scenarios/reviews/cheng,,
OutdatedNoteAttachmentReplacement,pas/scenarios/reviews/cheng,,
PetPolicyChangeRefiltering,pas/scenarios/reviews/cheng,,
PrepReminderAfterCalendarReschedule,pas/scenarios/reviews/cheng,,
ProductExchangeWindowReminder,pas/scenarios/reviews/cheng,,
ProductRecallSafeReplacement,pas/scenarios/reviews/cheng,,
ProductRecommendationFromNotes,pas/scenarios/reviews/cheng,,
RideBookingForCalendarEvent,pas/scenarios/reviews/cheng,,
UnknownSenderContactMerge,pas/scenarios/reviews/cheng,,
cart_pause_for_urgent_loan,pas/scenarios/reviews/cheng,,
enrich_contacts_from_signatures,pas/scenarios/reviews/cheng,,
expiring_discount_cart_checkout,pas/scenarios/reviews/cheng,,
project_task_filtering_calendar,pas/scenarios/reviews/cheng,,
sublet_inquiry_response_triage,pas/scenarios/reviews/cheng,,
travel_conflict_recurring_meeting,pas/scenarios/reviews/cheng,,
