Scenario Name,Folder,Review Status,Comments
ApartmentDealSharing,pas/scenarios/reviews/deepak,,
ApartmentFallthroughOrderCancel,pas/scenarios/reviews/deepak,,
ApartmentPriceDropTimelineAlert,pas/scenarios/reviews/deepak,,
BirthdayGiftPurchaseReminder,pas/scenarios/reviews/deepak,,
CabBookingForAirportFlight,pas/scenarios/reviews/deepak,,
CabDelayMeetingMitigation,pas/scenarios/reviews/deepak,,
CabLostItemRecovery,pas/scenarios/reviews/deepak,,
CartCheckoutCabDepartureUrgency,pas/scenarios/reviews/deepak,,
CommuteOptimizedApartmentSuggestion,pas/scenarios/reviews/deepak,,
CompositionAssistNotesInjection,pas/scenarios/reviews/deepak,,
DelayedRideCalendarReschedule,pas/scenarios/reviews/deepak,,
DietaryAccommodationDinnerParty,pas/scenarios/reviews/deepak,,
DiscountShareWithContact,pas/scenarios/reviews/deepak,,
DiscountShoppingFromSharedNote,pas/scenarios/reviews/deepak,,
DuplicateOrderCancellationCheck,pas/scenarios/reviews/deepak,,
DuplicateOrderDetectionCancellation,pas/scenarios/reviews/deepak,,
DuplicateOrderPreventionCalendar,pas/scenarios/reviews/deepak,,
EmailReminderBatchCancellation,pas/scenarios/reviews/deepak,,
EmailResearchNoteCompilation,pas/scenarios/reviews/deepak,,
EmailTaskReminderFollowup,pas/scenarios/reviews/deepak,,
EmergencyRideForStrandedFriend,pas/scenarios/reviews/deepak,,
FurnitureDeliveryApartmentSearch,pas/scenarios/reviews/deepak,,
GroupPurchaseCoordinator,pas/scenarios/reviews/deepak,,
NoteUpdateReflectsMeetingChanges,pas/scenarios/reviews/deepak,,
OrderItemCabDeliveryCoordination,pas/scenarios/reviews/deepak,,
OrderRecipientContactCreation,pas/scenarios/reviews/deepak,,
ProjectDeliverablesDraftCleanup,pas/scenarios/reviews/deepak,,
ReminderContextRecoveryFromMessages,pas/scenarios/reviews/deepak,,
ReminderDrivenMeetingReview,pas/scenarios/reviews/deepak,,
ReminderTriggeredFollowupBatch,pas/scenarios/reviews/deepak,,
RideReceiptBillingDispute,pas/scenarios/reviews/deepak,,
RideReceiptExpenseNoteOrganization,pas/scenarios/reviews/deepak,,
SharedGiftPurchaseCoordination,pas/scenarios/reviews/deepak,,
ShoppingDiscountFromMessage,pas/scenarios/reviews/deepak,,
ShoppingOrderCalendarSyncDelivery,pas/scenarios/reviews/deepak,,
ShoppingRefundEventConflict,pas/scenarios/reviews/deepak,,
TourPrepUrgentChecklist,pas/scenarios/reviews/deepak,,
TravelCostComparisonQuotations,pas/scenarios/reviews/deepak,,
VariantNotePrepForSharing,pas/scenarios/reviews/deepak,,
WarrantyClaimOrderLookup,pas/scenarios/reviews/deepak,,
casual_meetup_to_calendar,pas/scenarios/reviews/deepak,,
email_introduction_new_contact,pas/scenarios/reviews/deepak,,
group_attachment_consolidation,pas/scenarios/reviews/deepak,,
group_chat_name_change_sync,pas/scenarios/reviews/deepak,,
group_gift_purchase_coordination,pas/scenarios/reviews/deepak,,
missing_attachment_followup,pas/scenarios/reviews/deepak,,
restock_alert_auto_purchase,pas/scenarios/reviews/deepak,,
study_group_availability_synthesis,pas/scenarios/reviews/deepak,,
wedding_menu_allergen_cascade,pas/scenarios/reviews/deepak,,
